Time	Fin	pitch rate	Az Demand	Az
1.95	-0.216886	0.194031	-1.99848	-0.214422
1.955	-0.219971	0.192837	-2.00076	-0.216256
1.96	-0.223159	0.191653	-2.00076	-0.218081
1.965	-0.22645	0.190478	-2.00303	-0.219895
1.97	-0.22984	0.189315	-2.00303	-0.221697
1.975	-0.233335	0.188164	-2.01556	-0.223491
1.98	-0.236927	0.187027	-2.01556	-0.225273
1.985	-0.240614	0.185906	-2.01784	-0.227044
1.99	-0.244392	0.184801	-2.01784	-0.228805
1.995	-0.248261	0.183713	-2.02013	-0.230556
2	-0.252217	0.182645	-2.02013	-0.232296
2.005	-0.256258	0.181597	-2.02241	-0.234027
2.01	-0.260379	0.18057	-2.02241	-0.235747
2.015	-0.264586	0.179567	-2.03441	-0.237458
2.02	-0.268871	0.178587	-2.03441	-0.239159
2.025	-0.27323	0.177632	-2.03671	-0.240851
2.03	-0.27766	0.176704	-2.03671	-0.242533
2.035	-0.282159	0.175804	-2.039	-0.244207
2.04	-0.286723	0.174932	-2.039	-0.245872
2.045	-0.291349	0.174091	-2.04129	-0.247529
2.05	-0.296033	0.17328	-2.04129	-0.249178
2.055	-0.300779	0.172501	-2.05281	-0.250819
2.06	-0.305578	0.171756	-2.05281	-0.252454
2.065	-0.310427	0.171045	-2.05511	-0.254081
2.07	-0.315322	0.170369	-2.05511	-0.255703
2.075	-0.320261	0.169729	-2.05741	-0.257319
2.08	-0.325238	0.169126	-2.05741	-0.258929
2.085	-0.330252	0.168562	-2.05971	-0.260535
2.09	-0.335297	0.168037	-2.05971	-0.262137
2.095	-0.340377	0.167551	-2.07078	-0.263735
2.1	-0.345483	0.167106	-2.07078	-0.26533
2.105	-0.350611	0.166703	-2.07309	-0.266923
2.11	-0.355757	0.166342	-2.07309	-0.268515
2.115	-0.360919	0.166023	-2.0754	-0.270105
2.12	-0.366091	0.165749	-2.0754	-0.271695
2.125	-0.371272	0.165518	-2.0777	-0.273285
2.13	-0.376455	0.165333	-2.0777	-0.274877
2.135	-0.381643	0.165192	-2.08836	-0.276471
2.14	-0.386829	0.165098	-2.08836	-0.278067
2.145	-0.392008	0.16505	-2.09067	-0.279667
2.15	-0.397176	0.165048	-2.09067	-0.281272
2.155	-0.40233	0.165094	-2.09298	-0.282882
2.16	-0.407466	0.165187	-2.09298	-0.284497
2.165	-0.412581	0.165327	-2.0953	-0.286118
2.17	-0.41767	0.165516	-2.0953	-0.28775
2.175	-0.422735	0.165752	-2.10555	-0.289388
2.18	-0.427768	0.166037	-2.10555	-0.291036
2.185	-0.432766	0.166369	-2.10787	-0.292696
2.19	-0.437725	0.16675	-2.10787	-0.294367
2.195	-0.442641	0.167179	-2.11019	-0.296051
2.2	-0.447512	0.167656	-2.11019	-0.297748
2.205	-0.452333	0.168181	-2.11251	-0.29946
2.21	-0.457101	0.168754	-2.11251	-0.301188
2.215	-0.461818	0.169374	-2.12236	-0.302932
2.22	-0.466477	0.170041	-2.12236	-0.304693
2.225	-0.471074	0.170754	-2.12468	-0.306474
2.23	-0.475605	0.171514	-2.12468	-0.308274
2.235	-0.480069	0.17232	-2.12701	-0.310095
2.24	-0.484462	0.173171	-2.12701	-0.311937
2.245	-0.488782	0.174067	-2.12933	-0.313802
2.25	-0.493024	0.175007	-2.12933	-0.315691
2.255	-0.497192	0.17599	-2.13876	-0.317605
2.26	-0.501279	0.177015	-2.13876	-0.319545
2.265	-0.505282	0.178082	-2.1411	-0.321511
2.27	-0.509198	0.17919	-2.1411	-0.323506
2.275	-0.513027	0.180339	-2.14343	-0.325529
